wdid,spectype,teff,logg
Gaia DR2 789712823515276416,DA,6638.0,7.899
Gaia DR2 789765733214502144,DA,4919.0,8.146
Gaia DR2 791015813513535232,DA:,5971.0,7.843
Gaia DR2 791223891790995072,DA,5158.0,7.957
Gaia DR2 792481767453682048,DA,5896.0,8.128
Gaia DR2 794513634879620096,DA,6264.0,8.33
Gaia DR2 796546150842518400,DA,10622.0,8.038
Gaia DR2 796829992343597312,DA,5977.0,7.974
Gaia DR2 796880711614695552,DA:,6602.0,8.239
Gaia DR2 798602267650286464,DA,5466.0,8.059
Gaia DR2 80021395413251456,DA,8115.0,8.048
Gaia DR2 801851053926004608,DAH:,6398.0,8.089
Gaia DR2 803280861423538432,DA,6140.0,8.059
Gaia DR2 803585018126670208,DA,6126.0,8.083
Gaia DR2 804230637613089024,DA,5197.0,7.999
Gaia DR2 805992944292983424,DA,4560.0,8.108
Gaia DR2 808268967721645696,DA,6420.0,7.95
Gaia DR2 810799665531428608,DA,6198.0,8.23
Gaia DR2 811435114533149056,DA,6184.0,7.968
Gaia DR2 812885610888282880,DA,6301.0,7.832
Gaia DR2 815163352304154496,DA,5585.0,8.105
Gaia DR2 817255761587562752,DA:,4820.0,7.621
Gaia DR2 820663521783083776,DA,5636.0,8.182
Gaia DR2 823153056627033472,DA,5313.0,8.592
Gaia DR2 823804585985883776,DAH,6155.0,8.25
Gaia DR2 82401833791866880,DA,6528.0,8.095
Gaia DR2 824451339341466496,DA,5694.0,8.055
Gaia DR2 824743882449610752,DA,9137.0,7.933
Gaia DR2 82678738923759488,DA,8921.0,7.985
Gaia DR2 830202541068428288,DA,5556.0,8.165
Gaia DR2 832162626703637888,DA,5473.0,8.162
Gaia DR2 834838734926085888,DA,5352.0,8.343
Gaia DR2 836410319296579712,DA,11061.0,7.977
Gaia DR2 836959795935248256,DA,5908.0,8.233
Gaia DR2 838548697611781760,DA,5378.0,8.224
Gaia DR2 840539672652621568,DA,10510.0,8.622
Gaia DR2 842231163916746240,DA,5858.0,8.006
Gaia DR2 844886347058768128,DA,6094.0,8.01
Gaia DR2 845666931600086144,DAZ,5342.0,7.986
Gaia DR2 847003323555811328,DA,4614.0,7.919
Gaia DR2 848963099952361856,DA,7821.0,7.906
Gaia DR2 850296219145725184,DA,5959.0,8.081
Gaia DR2 850539348654103296,DA,4912.0,8.124
Gaia DR2 850605735964206720,DA,10771.0,8.009
Gaia DR2 851386110046262528,DA,5758.0,8.159
Gaia DR2 851682875106449664,DA,5649.0,8.06
Gaia DR2 852225282231361280,DA,5057.0,7.779
Gaia DR2 854072904147710464,DA:,4864.0,8.008
Gaia DR2 85469849190835968,DA,6486.0,8.008
Gaia DR2 85787470611883008,DA,8540.0,7.932
Gaia DR2 859567752163281792,DAZ,7477.0,7.97
Gaia DR2 86002459494919936,DA,6666.0,8.343
Gaia DR2 86082208448194944,DA,5331.0,7.93
Gaia DR2 861438223304637696,DA,5873.0,8.172
Gaia DR2 863215004030398080,DA,5063.0,7.96
Gaia DR2 863418722918878848,DA,5277.0,7.883
Gaia DR2 86450304324886016,DAZ,6656.0,8.119
Gaia DR2 866166024521723776,DA,14818.0,8.062
Gaia DR2 866313015482420608,DA:,7002.0,8.202
Gaia DR2 866850569292962688,DA,11430.0,7.993
Gaia DR2 866962856917166208,DAZ,5920.0,8.132
Gaia DR2 868441459539174144,DA:,6648.0,8.051
Gaia DR2 868706888517664000,DA,7751.0,8.303
Gaia DR2 870258333784968832,DA:,5127.0,8.056
Gaia DR2 872009447786700672,DA,9178.0,7.967
Gaia DR2 873303774834413056,DA,7208.0,7.912
Gaia DR2 87377467505518592,DA:,5244.0,8.144
Gaia DR2 875374911144519168,DAH:,6792.0,8.163
Gaia DR2 875558533882069632,DA:,5502.0,8.253
Gaia DR2 877134026669419520,DA,5798.0,8.14
Gaia DR2 877161789337691520,DA,5125.0,8.132
Gaia DR2 878635723331279360,DA,8527.0,7.983
Gaia DR2 878933862779706112,DA,4699.0,8.21
Gaia DR2 880938921016895360,DA,5650.0,8.109
Gaia DR2 881146316398060672,DA,6045.0,7.988
Gaia DR2 881355910802027008,DAH,5820.0,8.043
Gaia DR2 883243467325018496,DAZ,13332.0,7.893
Gaia DR2 883763600749490176,DA,5239.0,8.109
Gaia DR2 884025628113252224,DA,9030.0,8.592
Gaia DR2 885100916128136064,DA,5219.0,8.038
Gaia DR2 885194340254675712,DA,6038.0,7.954
Gaia DR2 88626684513029632,DAH,7092.0,8.315
Gaia DR2 88699119136916480,DA,6499.0,8.453
Gaia DR2 887758130788405504,DAQ,17020.0,9.001
Gaia DR2 887922743999825280,DA,5658.0,8.255
Gaia DR2 888152408786189952,DA,7857.0,7.943
Gaia DR2 888166938659949440,DA:,6889.0,8.371
Gaia DR2 888768027922842496,DA,5405.0,8.138
Gaia DR2 889391077355387392,DA,9404.0,8.077
Gaia DR2 89061369563264256,DA,5222.0,8.049
Gaia DR2 890886374512776704,DA,5702.0,8.138
Gaia DR2 891366276977912448,DA,6278.0,8.368
Gaia DR2 891372736608927616,DA:,5533.0,7.893
Gaia DR2 892944179243357056,DA,9837.0,8.316
Gaia DR2 893633710472340992,DA,7141.0,8.0
Gaia DR2 89512001827263616,DA,18349.0,7.794
Gaia DR2 896273229870178560,DA,6178.0,8.213
Gaia DR2 89644351244229888,DA,6324.0,8.097
Gaia DR2 896951830406797568,DA,7108.0,8.047
Gaia DR2 897217706062573568,DA,5336.0,8.115
Gaia DR2 898348313253395968,DAH,34832.0,9.36
Gaia DR2 89987639390218496,DA:,5144.0,7.947
Gaia DR2 90367383218249472,DA,6143.0,8.235
Gaia DR2 904604259537257856,DA,5385.0,8.029
Gaia DR2 905356016253570432,DA,5790.0,7.492
Gaia DR2 90565849362482432,DA,5851.0,8.049
Gaia DR2 906775593140073344,DA,16395.0,7.936
Gaia DR2 908716364305366528,DA,5128.0,7.43
Gaia DR2 909183489244510592,DA,5572.0,8.153
Gaia DR2 909192830801295104,DA:,6431.0,8.201
Gaia DR2 911310043516059008,DA:,4921.0,7.983
Gaia DR2 912559466682042240,DA,5280.0,7.954
Gaia DR2 918554863070270208,DA,5719.0,7.844
Gaia DR2 918648974394418816,DA,6618.0,7.973
Gaia DR2 918886709424112896,DA,6511.0,8.282
Gaia DR2 91980130553425536,DAH,9147.0,8.434
Gaia DR2 920486606217458944,DA:,5334.0,7.735
Gaia DR2 920673244020385792,DA,5002.0,7.914
Gaia DR2 922164422305158912,DA,5808.0,8.154
Gaia DR2 922621269386513152,DA,6838.0,8.254
Gaia DR2 923431643816675840,DA,5887.0,8.235
Gaia DR2 929455799308799616,DA:,4764.0,7.756
Gaia DR2 931433752004161664,DA,5314.0,8.044
Gaia DR2 93238895273124480,DA,6506.0,8.108
Gaia DR2 933287876501371520,DA,5275.0,8.058
Gaia DR2 933544818624946048,DA,10981.0,8.047
Gaia DR2 935585336111682432,DA:,5133.0,8.043
Gaia DR2 937297722393909376,DA,5002.0,7.965
Gaia DR2 941217520000615680,DA,6294.0,8.23
Gaia DR2 941674573241201152,DA,4946.0,7.833
Gaia DR2 941721439925593216,DA:,5164.0,8.044
Gaia DR2 941847059129421440,DA,6046.0,8.346
Gaia DR2 942461445610425856,DA,6685.0,8.061
Gaia DR2 944187919382385152,DA,4456.0,6.852
Gaia DR2 945007674022721280,DA,12210.0,8.5
Gaia DR2 945700052813730176,DA,5427.0,8.184
Gaia DR2 948132103814834560,DA,5526.0,8.038
Gaia DR2 949678085883629568,DA,6260.0,8.289
Gaia DR2 949678090177481728,DAH,5572.0,8.898
Gaia DR2 950478049312082688,DA,6717.0,7.826
Gaia DR2 953986968873841280,DA,8122.0,8.442
Gaia DR2 955083529860009344,DA,18253.0,7.976
Gaia DR2 955784124925155456,DA,6786.0,7.965
Gaia DR2 956043983330923520,DA,5688.0,8.102
Gaia DR2 958127012404647168,DA,8343.0,7.952
Gaia DR2 958829943930891008,DA,5446.0,8.32
Gaia DR2 959475009365228928,DA,5476.0,7.911
Gaia DR2 960039814744267520,DA,6578.0,8.292
Gaia DR2 960525317850643456,DA,6136.0,8.141
Gaia DR2 96095735719745280,DA:,4855.0,7.79
Gaia DR2 96217820165602048,DA,7210.0,8.386
Gaia DR2 962725097016375040,DA,3992.0,7.745
Gaia DR2 962995581174346112,DA,15087.0,7.943
Gaia DR2 963059108033204864,DA,4851.0,7.927
Gaia DR2 963061753733149184,DA,5616.0,8.065
Gaia DR2 963857903231857152,DA,4608.0,7.943
Gaia DR2 964596465808203264,DA:,5301.0,7.99
Gaia DR2 966188696083060608,DA,5522.0,8.012
Gaia DR2 966880769933512192,DA,5840.0,7.959
Gaia DR2 968286667349615872,DA:,4779.0,7.927
Gaia DR2 968662184929578496,DA,10126.0,8.295
Gaia DR2 969383155320001408,DA,5858.0,8.285
Gaia DR2 969456895614461440,DA,8619.0,8.303
Gaia DR2 969593613012939648,DA,12675.0,8.206
Gaia DR2 970115399998362496,DA:,5322.0,8.021
Gaia DR2 970717416975913728,DA:,7754.0,8.248
Gaia DR2 970740364984363264,DA,6826.0,8.596
Gaia DR2 971299982043008768,DA,5353.0,7.986
Gaia DR2 971761536408912128,DA:,5278.0,8.096
Gaia DR2 972267414837714432,DA,6475.0,8.012
Gaia DR2 972453438461117696,DA,6501.0,8.267
Gaia DR2 974720567013905408,DAZ,6961.0,7.978
Gaia DR2 974895286283420160,DA,9963.0,7.924
Gaia DR2 975538088268555392,DA,5928.0,8.077
Gaia DR2 976027607164699392,DA,5044.0,7.923
Gaia DR2 978886543555944832,DA,5509.0,8.37
Gaia DR2 979918680033530368,DA,9864.0,8.017
Gaia DR2 980918204822332416,DA,5130.0,8.244
Gaia DR2 981105087439019392,DA,9209.0,7.88
Gaia DR2 98148287706192256,DA,5949.0,7.947
Gaia DR2 981678718975048960,DA,9342.0,8.544
Gaia DR2 983538336734107392,DA,11690.0,7.959
Gaia DR2 983752397904269568,DA,6054.0,8.037
Gaia DR2 985204062490508928,DA,7151.0,7.9
Gaia DR2 985569684467013504,DA,5359.0,8.104
Gaia DR2 986191630090871424,DA,7596.0,7.955
Gaia DR2 987558739656090368,DA,6576.0,8.396
Gaia DR2 989376331161515008,DA,16212.0,8.63
Gaia DR2 989553318173000320,DA,5074.0,7.821
Gaia DR2 989911071769899520,DA,5072.0,7.892
Gaia DR2 990418187148387328,DA,7152.0,8.099
Gaia DR2 990569335636699648,DA:,4807.0,8.048
Gaia DR2 990881803097094272,DA,6107.0,7.938
Gaia DR2 991811165304213760,DA,8274.0,8.109
Gaia DR2 992303505992950528,DA:,5025.0,7.948
Gaia DR2 992573646551618304,DA,10952.0,8.427
Gaia DR2 994074716148990592,DA,5607.0,7.816
Gaia DR2 994092415707121024,DA,8116.0,7.889
Gaia DR2 994777132277299584,DA,4808.0,7.924
Gaia DR2 995112350178946048,DAH,9996.0,8.52
Gaia DR2 995133992519893248,DAHe,7897.0,8.325
Gaia DR2 995546141875666176,DA:,3897.0,7.446
Gaia DR2 996544253620908800,DA,7142.0,7.973
Gaia DR2 996792884983596800,DA,10714.0,8.021
Gaia DR2 998322782398650368,DA,6420.0,7.97
Gaia DR2 998347456987797120,DA,9640.0,7.903
Gaia DR2 999298152291419776,DA,7083.0,8.292
Gaia DR2 99989797884119040,DA,8742.0,7.815
Gaia DR3 1000151923070005376,DA,10849.0,8.531
Gaia DR3 1000182335733403008,DA,14574.0,7.837
Gaia DR3 1000205867860051968,DA,20481.0,7.451
Gaia DR3 1000230503796689664,DA,27170.0,7.81
Gaia DR3 1000249779605696896,DA,9079.0,5.189
Gaia DR3 1000429279174391040,DA,8026.0,8.131
Gaia DR3 1000429687195499520,DA,26440.0,7.651
Gaia DR3 100044528652068864,DA,16180.0,8.024
Gaia DR3 1000604685638656256,DA,16461.0,8.346
Gaia DR3 1000643099826064512,DA,7170.0,7.945
Gaia DR3 1000690340171674752,DA,7212.0,7.387
Gaia DR3 1000705698973877376,DA,8898.0,8.585
Gaia DR3 1000765038242361088,DA,22280.0,7.945
Gaia DR3 1000789644110340992,DA,45124.0,6.775
Gaia DR3 1000791259018042752,DA,21942.0,7.358
Gaia DR3 1000895021131833600,DA,18563.0,8.474
Gaia DR3 1000977381425618816,DA,9984.0,7.976
Gaia DR3 1000987723706841856,DA,9694.0,8.322
Gaia DR3 1001018681830291840,DA,12459.0,7.104
Gaia DR3 1001088333316993536,DA,109824.0,7.633
Gaia DR3 1001183608574357248,DA,6474.0,8.114
Gaia DR3 1001275830112781440,DA,7153.0,8.27
Gaia DR3 1001302669365008384,DA,13042.0,8.379
Gaia DR3 1001311259299306752,DA,9966.0,7.816
Gaia DR3 100131737963270144,DA,8745.0,8.312
Gaia DR3 1001410348487980928,DA,22481.0,8.184
Gaia DR3 1001457799287600640,DA,9641.0,8.037
Gaia DR3 1001488757411973504,DA,12241.0,8.031
Gaia DR3 1001501848472129792,DA,10268.0,7.508
Gaia DR3 1001522876630823424,DA,9071.0,8.046
Gaia DR3 1001545210461761920,DA:,10826.0,8.564
Gaia DR3 1001634064745066112,DA,8091.0,8.003
Gaia DR3 1001642315378473856,DA,7456.0,7.2
Gaia DR3 1001778306926024064,DA:,18320.0,7.858
Gaia DR3 1001843556069801984,DA,10190.0,8.336
Gaia DR3 1001872693127227136,DA,20159.0,7.846
Gaia DR3 1001890010435267072,DA,17308.0,7.79
Gaia DR3 1001901658387686144,DA,8823.0,8.09
Gaia DR3 100204924205919104,DA,13700.0,7.313
Gaia DR3 1002057552815740800,DA,19397.0,7.703
Gaia DR3 1002100704351249024,DA,13963.0,7.473
Gaia DR3 1002144994054716288,DA,11503.0,6.801
Gaia DR3 1002157810236514432,DA,11684.0,8.021
Gaia DR3 1002242476927546112,DA,9580.0,7.321
Gaia DR3 1002246320922276864,DA,21966.0,8.081
Gaia DR3 1002287999285087744,DA,13922.0,8.153
Gaia DR3 1002296898457497216,DA,11524.0,8.17
Gaia DR3 1002358677267034496,DA,10739.0,7.504
Gaia DR3 1002362697356462720,DA,11601.0,7.296
Gaia DR3 1002421761746793856,DA,24219.0,7.615
Gaia DR3 1002440522164202112,DA,26349.0,7.738
Gaia DR3 1002481586347664256,DA+DB,10960.0,7.56
Gaia DR3 1002489244273357824,DA,7100.0,7.986
Gaia DR3 1002498693201406336,DA,13914.0,8.421
Gaia DR3 1002522710657926528,DA,14488.0,7.932
Gaia DR3 1002527830258904960,DA,12057.0,7.319
Gaia DR3 1002615207074225280,DA,10692.0,7.939
Gaia DR3 1002621671000843008,DA,13136.0,7.98
Gaia DR3 1002625588010296576,DA,15732.0,7.983
Gaia DR3 1002629019688050304,DA,9384.0,8.078
Gaia DR3 1002634448526703360,DA,32035.0,8.062
Gaia DR3 1002670285734100608,DA,11931.0,7.962
Gaia DR3 1002683892190746112,DA,19851.0,8.383
Gaia DR3 1002701312577991296,DA,21431.0,7.343
Gaia DR3 1002737360239872128,DA,11426.0,7.5
Gaia DR3 1002743471977396864,DA,13751.0,8.118
Gaia DR3 1002851739512805760,DA,10895.0,7.459
Gaia DR3 1002881151449089792,DA,10486.0,7.263
Gaia DR3 1002884656142431360,DAH,9463.0,8.554
Gaia DR3 1002910735183169536,DA,13540.0,6.726
Gaia DR3 1002933343893813248,DA,12295.0,7.543
Gaia DR3 1002943583093945216,DA,8864.0,7.206
Gaia DR3 1003048242856875904,DA,14796.0,6.812
Gaia DR3 1003061024679407872,DA,13063.0,7.392
Gaia DR3 1003092532558967808,DA,9370.0,7.76
Gaia DR3 1003093597710601728,DA,12976.0,7.64
Gaia DR3 1003105520540214016,DA,22520.0,7.188
Gaia DR3 1003141014149969536,DA,17926.0,7.234
Gaia DR3 1003182593730139776,DA,19497.0,7.107
Gaia DR3 1003228322245753856,DA,15333.0,7.954
Gaia DR3 1003289345140366080,DA,17332.0,6.661
Gaia DR3 1003347928494786944,DA,9352.0,7.762
Gaia DR3 1003374729090751360,DA,21813.0,6.487
Gaia DR3 1003378611740398336,DAH,9310.0,8.452
Gaia DR3 1003402835356118528,DA,18355.0,7.169
Gaia DR3 1003496396923565824,DA,16073.0,8.066
Gaia DR3 1003572439320518912,DA,12319.0,8.081
Gaia DR3 1003635038467835264,DA,19509.0,8.357
Gaia DR3 1003707851049562368,DA,8845.0,7.977
Gaia DR3 1003751036985984,DA,19120.0,8.092
Gaia DR3 1003794227135870976,DA,6990.0,8.043
Gaia DR3 1003887479465496320,DA,10782.0,7.982
Gaia DR3 1003965480367645568,DA,17457.0,7.694
Gaia DR3 1003977983016936192,DA,7994.0,7.908
Gaia DR3 1003992826423978240,DA,10986.0,7.73
Gaia DR3 100402832003520000,DA,10080.0,7.844
Gaia DR3 1004056052638119552,DA,11539.0,7.595
Gaia DR3 1004261038541723392,DA,9151.0,7.923
Gaia DR3 1004268391525692160,DA,9083.0,7.947
Gaia DR3 1004306535132158208,DA,5993.0,7.117
Gaia DR3 1004340654352214656,DA:,27290.0,6.997
Gaia DR3 1004383015613440640,DA,5977.0,7.479
Gaia DR3 1004427550128208512,DA:,31470.0,8.373
Gaia DR3 1004442938995964928,DA,11751.0,7.983
Gaia DR3 1004611232994814080,DA,10334.0,7.408
Gaia DR3 1004622743506869760,DA,6212.0,8.209
Gaia DR3 1004733523600256256,DA,36797.0,7.316
Gaia DR3 1004830413766089088,DA,8798.0,7.666
Gaia DR3 100490243177784448,DA,23985.0,8.313
Gaia DR3 1004996684835846784,DA,23809.0,7.871
Gaia DR3 100503093719966976,DA,11918.0,7.893
Gaia DR3 1005130099403888000,DA,10002.0,8.011
Gaia DR3 1005407794810137472,DA,12043.0,6.793
Gaia DR3 100546455709856640,DA,9967.0,7.122
Gaia DR3 1005713325901236224,DA,14698.0,7.969
Gaia DR3 1005733112812384128,DA,11556.0,7.894
Gaia DR3 100599167844058624,DA,10707.0,8.022
Gaia DR3 1006024071076857344,DA:,24584.0,8.086
Gaia DR3 100606035496346752,DA,9048.0,8.101
Gaia DR3 1006187520353030656,DA,7861.0,8.006
Gaia DR3 1006215557899608960,DA,6305.0,8.095
Gaia DR3 100628403686282496,DA,14327.0,8.007
Gaia DR3 1006456316585838848,DA,11596.0,8.169
Gaia DR3 1006522252923536384,DA,7328.0,7.975
Gaia DR3 1006533763440848256,DA:,7858.0,8.087
Gaia DR3 1006615269030115968,DA,10186.0,8.042
Gaia DR3 1006755074510832896,DA,9510.0,6.316
Gaia DR3 1006817579170421632,DA,13091.0,7.232
Gaia DR3 1006898217181348736,DA,9433.0,6.902
Gaia DR3 1007049777987037056,DA,19635.0,7.283
Gaia DR3 1007059192555435648,DA,10054.0,8.015
Gaia DR3 1007207837079643136,DA,15509.0,7.908
Gaia DR3 1007242815292304000,DA,5393.0,7.358
Gaia DR3 1007351770024024832,DA,7568.0,7.589
Gaia DR3 1007399731922752384,DA,27792.0,6.995
Gaia DR3 1007440929248872064,DA,7910.0,8.34
Gaia DR3 1007481989135620352,DA,20660.0,8.097
Gaia DR3 1007561119613623680,DA,37195.0,6.909
Gaia DR3 1007571461893838464,DA,14159.0,8.384
Gaia DR3 1007587198654175872,DA,6822.0,8.046
Gaia DR3 1007588298165790720,DA,7856.0,7.971
Gaia DR3 1007589054080051840,DA,6651.0,8.53
Gaia DR3 1007730306965029888,DA,15546.0,6.943
Gaia DR3 1007792910408045568,DA,9896.0,7.858
Gaia DR3 1007834176454463488,DA,7582.0,8.459
Gaia DR3 1008341601071321472,DA,10757.0,8.116
Gaia DR3 1008671385839666432,DA,18230.0,7.555
Gaia DR3 1008873936496418048,DA,9951.0,7.634
Gaia DR3 1009022026969189632,DA,7584.0,7.127
Gaia DR3 1009063434750094976,DA,10412.0,8.391
Gaia DR3 1009241585696655744,DA,10937.0,7.943
Gaia DR3 1009258868645348224,DA,10253.0,7.285
Gaia DR3 1009278797293648128,DA,12418.0,8.049
Gaia DR3 1009285050766124800,DA,8510.0,8.107
Gaia DR3 1009405447289098368,DA,8672.0,8.092
Gaia DR3 1009469738655957248,DA,,
Gaia DR3 100956710986575232,DA,16569.0,7.713
Gaia DR3 1009612533432950016,DA,13698.0,7.837
Gaia DR3 1009623532844468480,DA,12061.0,7.191
Gaia DR3 1009669364439384448,DA,11066.0,7.903
Gaia DR3 1009749976682203904,DA,13183.0,8.193
Gaia DR3 1009910058702693888,DA,16209.0,7.761
Gaia DR3 1009949022647122048,DA,12345.0,8.259
Gaia DR3 1010873574486564608,DA,18161.0,8.358
Gaia DR3 1010875769213408384,DA,8731.0,8.597
Gaia DR3 1011121991098894592,DA,6492.0,8.109
Gaia DR3 1011211807455104768,DA,20061.0,8.101
Gaia DR3 1011357393962275328,DA,11225.0,8.243
Gaia DR3 1011510878913404672,DA,6462.0,7.853
Gaia DR3 1011657418901852032,DA,,
Gaia DR3 1011714803960624256,DA,6440.0,7.571
Gaia DR3 1011714937104027392,DA,,
Gaia DR3 1011750125771534464,DA,10000.0,8.075
Gaia DR3 1011817947599623808,DA,6805.0,7.253
Gaia DR3 1011869796444235392,DA,10347.0,8.251
Gaia DR3 1011892267713042688,DA,6046.0,7.891
Gaia DR3 101192384431568896,DA,13726.0,7.811
Gaia DR3 1012386429470943616,DA,15647.0,7.946
Gaia DR3 1012575304953869824,DA,9403.0,7.6
Gaia DR3 1012597643078186112,DA,15885.0,8.095
Gaia DR3 1012755418701220480,DA,15910.0,7.749
Gaia DR3 1012819224735449344,DA,10164.0,8.512
Gaia DR3 1012942649210992256,DA,13622.0,8.005
Gaia DR3 1012973499960362368,DA,,
Gaia DR3 1012999342778291072,DA:,4989.0,7.637
Gaia DR3 1013003152414686336,DA,6490.0,7.538
Gaia DR3 1013308919726052736,DA,,
Gaia DR3 101341441272013312,DA,5739.0,7.972
Gaia DR3 1013680760814613376,DA,10176.0,7.07
Gaia DR3 1013783187195187456,DA,10836.0,7.7
Gaia DR3 1014015257164388480,DA,10464.0,7.86
Gaia DR3 1014474745655116416,DA,15704.0,7.916
Gaia DR3 1014495636370580992,DA,22210.0,7.994
Gaia DR3 1014594317541881344,DA,32876.0,7.088
Gaia DR3 1014616926250751360,DA,10193.0,6.831
Gaia DR3 101487607599098112,DA,8246.0,7.709
Gaia DR3 1014955610187275520,DA,10124.0,7.973
Gaia DR3 101501351494434304,DA:,30136.0,7.372
Gaia DR3 1015064771076284800,DA,8426.0,8.499
Gaia DR3 1015249390248014848,DA,11543.0,7.371
Gaia DR3 1015298967053526400,DA,19151.0,8.118
Gaia DR3 1015322095452638208,DA,14407.0,7.739
Gaia DR3 101568829725719552,DA,11842.0,7.596
Gaia DR3 101573232066981888,DA,13457.0,8.99
Gaia DR3 1015836765677944192,DA,23358.0,7.884
Gaia DR3 1015998428248484992,DA,8940.0,7.964
Gaia DR3 1016094017039379968,DA,13835.0,7.836
Gaia DR3 1016094841673137792,DA,13618.0,8.105
Gaia DR3 1016198131341428352,DA,13034.0,7.471
Gaia DR3 1016484107445300864,DAH?,27804.0,9.275
Gaia DR3 1016609279971864704,DA,12629.0,7.993
Gaia DR3 1016666209762447872,DA,11445.0,7.625
Gaia DR3 1016683458351180160,DA,30299.0,7.808
Gaia DR3 1016738296495667328,DA,11698.0,7.941
Gaia DR3 1016803167679630976,DA,6502.0,8.239
Gaia DR3 1016882298157369984,DA,17748.0,7.844
Gaia DR3 1016928619380310528,DA,9836.0,7.77
Gaia DR3 101694345849937152,DA,16793.0,6.909
Gaia DR3 1016947478580572800,DA,13037.0,7.309
Gaia DR3 1017130379763958656,DA,10449.0,7.994
Gaia DR3 1017130547266933632,DA:,5457.0,7.886
Gaia DR3 1017167587064407936,DA,14672.0,8.262
Gaia DR3 1017228403801661824,DA,10259.0,8.37
Gaia DR3 1017407491053840000,DA,13793.0,8.076
Gaia DR3 1017414427425074560,DA,12559.0,8.056
Gaia DR3 1017464111606865792,DA,,
Gaia DR3 101751348655436672,DA,11282.0,7.822
Gaia DR3 1017639586790139520,DA,16721.0,7.96
Gaia DR3 1017696795754631552,DA,15916.0,8.101
Gaia DR3 101776362545163264,DA,9314.0,7.047
Gaia DR3 1017810354690573824,DA,6172.0,7.765
Gaia DR3 1018026619179903488,DA,9404.0,7.652
Gaia DR3 1018207694999325056,DA,8031.0,8.052
Gaia DR3 1018225699503263744,DA,9664.0,7.849
Gaia DR3 1018253938912491520,DA,10647.0,7.886
Gaia DR3 1018255897417604736,DA,18539.0,9.396
Gaia DR3 1018275074447519360,DA,12671.0,7.718
Gaia DR3 1018281357983398272,DA,,
Gaia DR3 1018465526181235712,DA,14153.0,8.096
Gaia DR3 1018467931362997888,DA,,
Gaia DR3 101854913202037888,DA,17098.0,7.827
Gaia DR3 101876869074845824,DA,9224.0,8.235
Gaia DR3 1018776623547161856,DA,4986.0,8.068
Gaia DR3 1018987416247875328,DA,9857.0,7.776
Gaia DR3 1019265455250312064,DA:,8566.0,8.526
Gaia DR3 1019405780422571648,DA,7769.0,8.099
Gaia DR3 1019545452757941888,DA,6304.0,8.188
Gaia DR3 1019571772317884160,DA,10623.0,7.486
Gaia DR3 1019699732279378560,DA,10989.0,8.143
Gaia DR3 101971697657457792,DA,10710.0,7.501
Gaia DR3 1019902003763140352,DA,22058.0,9.412
Gaia DR3 1019912311684643584,DA,12895.0,8.013
Gaia DR3 1020028138363033088,DA,9509.0,7.932
Gaia DR3 102042753596648704,DA,9461.0,8.13
Gaia DR3 1020709869932061312,DA,5562.0,8.222
Gaia DR3 1020729351903259904,DA,13723.0,7.825
Gaia DR3 1020985164451242624,DA,15350.0,8.402
Gaia DR3 1021028865742919680,DA,8210.0,8.047
Gaia DR3 1021213789854692352,DA,19057.0,9.204
Gaia DR3 1021311719405322624,DA,12642.0,7.683
Gaia DR3 1021435272728360064,DA,,
Gaia DR3 1021670499497142272,DA,6208.0,8.103
Gaia DR3 1021702007379086336,DA,23078.0,6.329
Gaia DR3 102170331305351552,DA,9047.0,7.656
Gaia DR3 1021793923972778112,DA,11689.0,7.478
Gaia DR3 1021902049774056320,DA,6595.0,8.182
Gaia DR3 1021962763431473280,DA,19666.0,7.394
Gaia DR3 102198884247334912,DA,8584.0,7.292
Gaia DR3 1022306811787549056,DA,6534.0,7.895
Gaia DR3 1022345771435097472,DA,13802.0,8.064
Gaia DR3 1022499771783157120,DA,14309.0,8.307
Gaia DR3 1022680611381678592,DA,,
Gaia DR3 1022716139350977792,DA,10715.0,7.885
Gaia DR3 1022743107449646464,DA,9389.0,8.137
Gaia DR3 1022743489703433344,DA,8157.0,8.04
Gaia DR3 1023051967138150016,DA,9272.0,8.18
Gaia DR3 1023167725096313856,DA,9006.0,7.891
Gaia DR3 1023198648965760,DA,15341.0,7.393
Gaia DR3 1023233661434612224,DA,,
Gaia DR3 1023243282161151232,DA:,6948.0,8.469
Gaia DR3 1023244381673651712,DA,5192.0,7.452
Gaia DR3 1023341795826716544,DA,10490.0,7.841
Gaia DR3 1023595469479769088,DA,12030.0,8.019
Gaia DR3 1023714839506527360,DA,6430.0,8.061
Gaia DR3 1023852656417151488,DA,,
Gaia DR3 1023940033232321664,DA:,,
Gaia DR3 1024191920178027776,DA,5314.0,7.139
Gaia DR3 102425177484743296,DA,10684.0,7.738
Gaia DR3 1024289025094634496,DA,,
Gaia DR3 1024330321204224896,DA,10941.0,8.174
Gaia DR3 1024548299384175872,DA,,
Gaia DR3 102457475638696704,DA,8203.0,7.746
Gaia DR3 1024627051904275840,DA,14804.0,7.469
Gaia DR3 1024709343478153344,DA,8233.0,6.823
Gaia DR3 1024785484658469120,DA,12043.0,7.993
Gaia DR3 1025040846233763584,DA,8963.0,7.949
Gaia DR3 1025191857285583104,DA,14928.0,7.933
Gaia DR3 1025316514414534784,DA,5444.0,7.921
Gaia DR3 102540493061864832,DA,21363.0,7.563
Gaia DR3 1025555971727134336,DA,15375.0,8.508
Gaia DR3 1025713953508464640,DA,,
