Lyman-alpha wing opacity induced by collisions H-H2.                            
This is based on quasi-static theory and includes Doppler broadening.           
The cross section sigma[cm^2] was given in the form: LOG_10 (sigma)
per emitter per perturber [cm^5]!
D.K. obtained from http://www.icate-conicet.gob.ar/rohrmann/tables.html         
sigma was multiplied by 88.53e-30**1215.671)**2 to transform the cross
section to a line profile, and additionally by e18 for numerical reasons.
This is reversed in the code by eta(n,l).
The normalization in profdata is like the other Balmer lines by multiplying
with perturber density/e18. D.K. fecit 20200528.
    7  number of tables
    21.00 perturber density  nH2
    8 number of temperatures 
      1000   2000   3000   4000   6000   8000  10000  15000 [K]
      ...
      lambda                   P(nH2,T)
--------------------------------------------------------------------------------
    7            / no of perturber density tables                               
  2690.72  -7.0418  -3.6104  -2.4657  -1.8931  -1.3205  -1.0341  -0.8623  -0.6331
  2720.36  -7.1860  -3.6990  -2.5355  -1.9535  -1.3714  -1.0803  -0.9056  -0.6727
  2750.00  -7.2968  -3.7575  -2.5763  -1.9855  -1.3945  -1.0990  -0.9216  -0.6851
  2847.14  -7.7062  -3.9733  -2.7277  -2.1047  -1.4815  -1.1699  -0.9829  -0.7336
  2944.29  -8.1484  -4.2169  -2.9052  -2.2492  -1.5930  -1.2648  -1.0679  -0.8053
  3041.43  -8.5654  -4.4384  -3.0610  -2.3721  -1.6829  -1.3383  -1.1315  -0.8558
  3138.57  -9.0042  -4.6866  -3.2447  -2.5233  -1.8017  -1.4408  -1.2242  -0.9354
  3235.71  -9.4710  -4.9770  -3.4741  -2.7219  -1.9691  -1.5926  -1.3666  -1.0652
  3332.86  -9.8501  -5.1785  -3.6145  -2.8315  -2.0478  -1.6557  -1.4204  -1.1066
  3430.00 -10.2380  -5.3912  -3.7645  -2.9494  -2.1334  -1.7251  -1.4799  -1.1530
  3527.14 -10.6173  -5.6055  -3.9161  -3.0687  -2.2196  -1.7944  -1.5392  -1.1987
  3624.29 -10.9871  -5.8262  -4.0739  -3.1929  -2.3090  -1.8662  -1.6002  -1.2452
