Lyman alpha broadened by neutral Helium.
Potentials and dipole moments from
Theodorakopoulos 1984 (J. Phys. B: At. Mol. Phys. 17 1453)
Theodorakopoulos 1987 (J. Phys. B: At. Mol. Phys. 20 2339)
Belyaev 2015 (PHYSICAL REVIEW A 91, 062709)
end ------------------------------------------------------
    6
   15.00  633    4   5000.00  10000.00  15000.00  20000.00
 1010.5260  -12.935001   -8.591000   -7.136000   -6.604000
 1011.2750  -12.853001   -8.535999   -7.089001   -6.560299
 1012.0250  -12.771000   -8.480999   -7.042999   -6.516500
 1012.7750  -12.688999   -8.424999   -6.996000   -6.472700
 1013.5270  -12.607000   -8.369999   -6.949299   -6.428699
 1014.2800  -12.524000   -8.313999   -6.902401   -6.384701
 1015.0340  -12.442001   -8.258999   -6.855499   -6.340700
 1015.7890  -12.359001   -8.202999   -6.808500   -6.296600
 1016.5460  -12.277000   -8.146999   -6.761400   -6.252399
 1017.3030  -12.194000   -8.091000   -6.714300   -6.208099
 1018.0610  -12.111000   -8.035000   -6.667200   -6.163900
 1018.8210  -12.028000   -7.979000   -6.619900   -6.119499
 1019.5820  -11.945000   -7.923000   -6.572500   -6.075001
 1020.3440  -11.861000   -7.867001   -6.525101   -6.030500
 1021.1070  -11.778000   -7.811001   -6.477600   -5.985901
 1021.8710  -11.694000   -7.754000   -6.430099   -5.941299
 1022.6370  -11.611000   -7.698000   -6.382401   -5.896500
 1023.4030  -11.527000   -7.640999   -6.334801   -5.851799
 1024.1710  -11.443001   -7.584999   -6.286999   -5.806900
 1024.9399  -11.359001   -7.528000   -6.239201   -5.762001
 1025.7100  -11.275000   -7.471001   -6.191200   -5.716999
 1026.4810  -11.189999   -7.414000   -6.143299   -5.672001
 1027.2531  -11.105999   -7.358000   -6.095200   -5.626900
 1028.0270  -11.021000   -7.299999   -6.047100   -5.581699
 1028.8010  -10.937000   -7.243000   -5.998901   -5.536400
 1029.5770  -10.852001   -7.186001   -5.950600   -5.491100
 1030.3540  -10.767000   -7.129000   -5.902300   -5.445700
 1031.1320  -10.681999   -7.070999   -5.853901   -5.400299
 1031.9110  -10.597000   -7.014000   -5.805401   -5.354801
 1032.6920  -10.511000   -6.956400   -5.756800   -5.309101
 1033.4740  -10.425999   -6.898800   -5.708200   -5.263401
 1034.2570  -10.340000   -6.841000   -5.659500   -5.217701
 1035.0410  -10.255001   -6.783199   -5.610699   -5.171900
 1035.8260  -10.168999   -6.725300   -5.561800   -5.125999
 1036.6121  -10.083000   -6.667301   -5.512901   -5.080101
 1037.4000   -9.997000   -6.609200   -5.463900   -5.034100
 1038.1890   -9.910000   -6.550999   -5.414799   -4.987999
 1038.9790   -9.824001   -6.492800   -5.365700   -4.941900
 1039.7700   -9.737999   -6.434399   -5.316399   -4.895599
 1040.5620   -9.651001   -6.375999   -5.267200   -4.849400
 1041.3560   -9.563999   -6.317501   -5.217800   -4.802999
 1042.1510   -9.477001   -6.258801   -5.168301   -4.756500
 1042.9470   -9.389999   -6.200100   -5.118801   -4.709999
 1043.7440   -9.303001   -6.141399   -5.069199   -4.663500
 1044.5430   -9.216000   -6.082401   -5.019501   -4.616800
 1045.3430   -9.128000   -6.023399   -4.969700   -4.570099
 1046.1440   -9.041000   -5.964401   -4.919800   -4.523300
 1046.9460   -8.952999   -5.905201   -4.869900   -4.476400
 1047.7490   -8.865000   -5.846001   -4.820000   -4.429501
 1048.5540   -8.777000   -5.786600   -4.769899   -4.382500
